features,class
"[-368.08658    157.67845    -79.13165     21.238472    31.42865
  -44.522594    -9.115147   -23.183186   -50.321243    -5.4862237
  -24.176617   -47.221115    -4.396798    -9.438892   -25.043957
   -2.1656492   -9.927564   -13.6021       1.6909431  -11.927099
  -12.638581    -1.916196   -15.246018   -11.051678    -1.2899615
  -13.108106    -7.8697567    0.5164681   -7.504219    -2.5010405
    2.0140524   -4.739768    -4.6401143   -7.1152325   -8.4709635
   -4.4774466  -11.1569395  -11.421683    -1.3190166   -1.3523382]",Number_0
"[-3.72688568e+02  1.54134308e+02 -7.68681335e+01  1.81730595e+01
  2.92765961e+01 -4.35173264e+01 -9.07804394e+00 -2.14611607e+01
 -4.91484604e+01 -6.45300865e+00 -2.18079891e+01 -4.37086868e+01
 -1.99432850e+00 -5.52830744e+00 -2.40840759e+01 -3.08607149e+00
 -5.91408443e+00 -1.05829878e+01  7.18988538e-01 -1.02506361e+01
 -1.14733944e+01 -4.43309116e+00 -1.61538010e+01 -1.10623245e+01
 -1.79001093e+00 -1.07252350e+01 -4.75836325e+00  1.16532111e+00
 -7.99342871e+00 -3.82735229e+00 -1.22596346e-01 -6.34729433e+00
 -4.72015572e+00 -6.17460775e+00 -9.33348560e+00 -6.88028240e+00
 -1.18127813e+01 -1.20049992e+01 -2.78846240e+00  6.12250626e-01]",Number_0
"[-3.74975861e+02  1.56030426e+02 -7.46481247e+01  2.44356651e+01
  2.85729694e+01 -4.66900444e+01 -8.03696156e+00 -2.26616287e+01
 -4.91246529e+01 -4.71257496e+00 -2.66230850e+01 -4.79126129e+01
 -2.32185698e+00 -1.10733948e+01 -2.94286041e+01 -2.46018624e+00
 -6.12877321e+00 -1.30076275e+01 -2.59853935e+00 -1.20840893e+01
 -7.26919842e+00 -1.47450233e+00 -1.96536827e+01 -1.24641066e+01
 -1.41639650e+00 -1.44377670e+01 -8.50718880e+00 -5.42687535e-01
 -9.01430988e+00 -3.06012392e+00  1.02471411e+00 -5.26792955e+00
 -2.79883313e+00 -5.26203012e+00 -8.83042431e+00 -5.60267019e+00
 -1.08206196e+01 -1.05009909e+01 -1.74458671e+00 -4.82066488e-03]",Number_0
"[-3.5312747e+02  1.5439490e+02 -8.6714386e+01  1.9909952e+01
  3.2988373e+01 -4.5284016e+01 -8.8232889e+00 -2.1462759e+01
 -4.9696701e+01 -5.1462159e+00 -2.2855204e+01 -4.4485214e+01
 -1.5395744e+00 -9.5338688e+00 -2.7271778e+01 -2.8155043e+00
 -9.1410761e+00 -1.3223471e+01  2.3236270e+00 -1.0684487e+01
 -1.2494427e+01 -3.6937711e+00 -1.7613665e+01 -1.2587452e+01
 -1.3529657e+00 -1.1489719e+01 -5.8042736e+00  1.1042413e+00
 -9.0022039e+00 -5.9534678e+00 -1.7748200e+00 -5.7629848e+00
 -3.5991652e+00 -7.7157779e+00 -1.0397214e+01 -5.3601727e+00
 -1.0805217e+01 -9.6536169e+00  1.1510217e+00 -1.2466619e-01]",Number_0
"[-3.75153717e+02  1.55836105e+02 -7.96342926e+01  2.52478657e+01
  3.03938656e+01 -4.77330818e+01 -7.77572298e+00 -2.13693237e+01
 -4.94273071e+01 -1.75426221e+00 -2.05057659e+01 -4.58192558e+01
 -1.37901294e+00 -6.44577312e+00 -2.50052376e+01 -7.82475889e-01
 -5.61051273e+00 -1.18603058e+01 -1.57764614e-01 -1.24622316e+01
 -1.12750759e+01 -1.96153522e+00 -1.65030689e+01 -1.08280020e+01
  1.01879239e-01 -1.26592379e+01 -8.33343887e+00  6.07793808e-01
 -7.18157148e+00 -3.73967004e+00  1.70032904e-01 -4.42862129e+00
 -3.60740805e+00 -8.66778660e+00 -1.09610195e+01 -5.63378716e+00
 -1.28103018e+01 -1.39831181e+01 -2.98448586e+00 -2.36805916e+00]",Number_0
"[-369.55032     136.717       -65.992935     25.81976      30.252752
  -39.40725      -8.405143    -23.234055    -47.668346     -8.385386
  -25.93429     -43.778156     -3.5051696    -7.599214    -22.135855
   -4.4842176   -10.685365    -12.775071     -3.2512956   -14.148772
   -9.125949     -1.084696    -14.207032     -8.600453     -1.1508676
  -10.279276     -5.2070966    -3.356792     -9.20369      -0.81711894
   -2.5389473   -10.34983      -5.006388     -9.776866    -14.313918
   -4.954143     -6.9567914    -9.586401     -0.51246655    3.4838607 ]",Number_0
"[-3.5207388e+02  1.4020717e+02 -5.0515236e+01  2.1972897e+01
  2.5199421e+01 -3.9143307e+01 -1.0977333e+01 -2.0767160e+01
 -4.8636623e+01 -1.4796712e+01 -2.3114492e+01 -4.2224724e+01
 -7.9771223e+00 -5.0089183e+00 -2.0410162e+01 -5.6667261e+00
 -4.1114130e+00 -7.7809472e+00 -3.7373345e+00 -1.2044202e+01
 -8.3491344e+00 -2.1219575e+00 -1.4855571e+01 -1.1677804e+01
 -5.8226097e-01 -6.8928614e+00 -7.2881651e+00 -3.2216525e+00
 -4.2524376e+00 -9.6191488e-02 -1.8440233e+00 -5.9924684e+00
 -2.0971985e+00 -6.2577529e+00 -9.8532696e+00 -3.7822881e+00
 -7.5674005e+00 -1.1477478e+01 -5.0036230e+00 -4.6605172e+00]",Number_0
"[-3.82599884e+02  1.53386017e+02 -6.68309402e+01  2.09927711e+01
  2.99786968e+01 -4.17532196e+01 -1.08425798e+01 -2.26345596e+01
 -5.11302948e+01 -1.11438589e+01 -2.21773396e+01 -4.29065056e+01
 -5.80259228e+00 -7.42374372e+00 -2.30953808e+01 -4.48141146e+00
 -7.75049210e+00 -1.32750168e+01 -6.12088490e+00 -1.62521000e+01
 -1.21151867e+01 -3.47825384e+00 -1.68119812e+01 -1.15475712e+01
  9.76184681e-02 -8.59431934e+00 -6.84790754e+00 -2.94156671e+00
 -7.70979500e+00 -1.55695724e+00 -1.33581316e+00 -7.29501152e+00
 -3.77167726e+00 -9.42811775e+00 -1.38618145e+01 -4.68520737e+00
 -6.79649258e+00 -8.77877235e+00  1.55490828e+00  2.72302461e+00]",Number_0
"[-363.91208    153.01689    -73.235245    22.00102     31.234592
  -43.114697    -8.828897   -21.720516   -52.945625   -11.269863
  -22.295813   -43.36496     -4.6573462   -6.301395   -22.48714
   -4.636297    -8.599493   -11.646498    -3.0614245  -15.526157
  -12.325927    -3.478313   -17.319876   -10.8420725    1.6818525
   -8.8834915   -8.383192    -3.2775059   -6.6197896   -1.1253563
   -3.1848376   -9.497122    -3.3388162   -7.7053437  -14.948452
   -8.69805    -10.455838   -12.52142     -4.3558316   -2.4790761]",Number_0
"[-388.97913    159.32039    -70.36208     22.462864    32.032207
  -39.801857    -6.5758214  -20.918934   -48.18309     -6.111745
  -22.15813    -43.309525    -3.3296092   -7.613959   -24.081467
   -4.714185    -9.180528   -12.695325    -5.048032   -18.19715
  -13.200264    -3.6512861  -18.998457   -13.812512    -2.6047156
  -12.560879    -9.598181    -5.0578012   -9.79487     -1.8624781
   -1.5857464   -9.537768    -5.991326    -9.189917   -11.636757
   -2.7981033   -5.2423277   -6.1222997    4.5880604    6.6009994]",Number_0
"[-2.9548788e+02  1.8910655e+02 -1.9826742e+01  6.6878204e+00
  2.1185028e+01 -1.9822437e+01 -1.0646601e+01 -1.8222586e+01
 -2.5198503e+01 -2.5600581e+00 -1.6453653e+01 -2.5611696e+01
 -4.5512395e+00 -8.9797983e+00 -1.0258367e+01 -6.4262189e-02
 -9.5853062e+00 -4.1182942e+00  2.7813103e+00 -1.6254728e+01
 -1.3935610e+01 -2.0051351e+00 -1.2247757e+01 -9.8592386e+00
 -3.0771718e+00 -1.0881316e+01 -6.3441038e+00 -1.2338495e+00
 -7.9593291e+00 -5.6729851e+00 -4.1801023e+00 -8.2989912e+00
 -5.1813998e+00 -4.8113108e+00 -6.0422640e+00 -2.8792825e+00
 -4.6354837e+00 -4.5646811e+00 -2.1470296e+00 -6.6823683e+00]",Number_0
"[-3.39478333e+02  2.03074173e+02 -7.42631340e+00  1.47083006e+01
  2.00672626e+01 -3.27275391e+01 -1.89526787e+01 -1.25902529e+01
 -2.34646950e+01 -6.59933805e+00 -1.44041958e+01 -2.27251091e+01
 -1.28245020e+00 -6.23754025e+00 -1.51200352e+01  2.43093491e-01
 -4.23107433e+00 -1.07050142e+01 -2.55973667e-01 -7.32306051e+00
 -1.44017038e+01 -5.83270216e+00 -9.03128433e+00 -1.37310915e+01
 -9.12010670e+00 -1.17548828e+01 -1.34907265e+01 -9.04169655e+00
 -9.84718227e+00 -1.07390804e+01 -7.55339670e+00 -5.32322073e+00
 -5.20986700e+00 -7.05270004e+00 -6.67401314e+00 -4.91441679e+00
 -5.98744011e+00 -3.70648527e+00 -1.55711210e+00 -6.79590321e+00]",Number_0
"[-327.23874    195.05524     -4.673532    21.208858    17.86864
  -36.054417   -16.89122    -13.839521   -26.856798    -7.17294
  -12.627116   -18.636463    -2.8700588  -11.111359   -10.004853
    3.243305   -11.979994   -10.156071     6.711258    -9.581518
  -16.82074     -3.342467    -9.66027    -13.732669    -5.0003643
   -7.58896     -9.851369    -5.1723075   -4.602704    -5.7908425
   -7.904639    -8.399285    -7.178256    -9.898296    -7.941704
   -2.4488635   -4.4233584   -4.694398    -2.5721335   -5.660707 ]",Number_0
"[-320.64664     199.76237      -8.419869     12.381964     15.11488
  -32.80982     -16.062868    -14.760388    -24.843449     -4.0124273
  -12.590942    -20.495203     -0.84152055   -7.147503    -11.256136
    1.8958621    -6.64753      -6.51625       3.9345686   -10.265194
  -14.287096     -3.956257    -11.449029    -13.630186     -5.951708
   -8.192785     -7.8243794    -5.846207     -8.292766     -5.7841053
   -5.7012625    -7.414197     -3.9067078    -5.5221887    -6.9201927
   -2.5913222    -3.4392278    -3.3818889    -2.004274     -7.6248546 ]",Number_0
"[-316.92365    194.47313    -13.194153     3.5747097   11.570126
  -30.068829   -16.226734   -14.937658   -23.27465     -8.420251
  -18.727428   -17.664593     6.350128    -6.960312   -15.881337
    1.5736376   -5.2390947   -8.282729     4.7466755   -5.7845116
  -13.379429    -5.862702   -11.598534   -12.777609    -5.10522
   -8.798032   -10.186636    -6.3575606   -7.6091704   -6.4170876
   -5.878399    -7.9192824   -5.2336493   -4.751025    -6.2795763
   -3.71162     -2.702115    -1.8574907   -0.6992098   -3.8248358]",Number_0
"[-336.9419     200.15956     -3.987602    13.661823    15.237829
  -30.646952   -14.426759   -14.590907   -26.951387    -9.4591
  -16.211582   -17.759306     3.3322153   -7.6905584  -14.117141
    1.4168837   -6.950413    -9.229106     2.6377373   -8.789689
  -14.005021    -4.550776    -9.994171   -11.867279    -6.1060586
   -9.522989    -9.013585    -5.6045732   -6.706097    -4.1729813
   -4.715211    -8.057993    -6.3120184   -8.090661    -9.079615
   -3.505151    -2.585459    -3.1477723   -1.716583    -4.305109 ]",Number_0
"[-326.9998     197.17151     -2.9672835   11.945497    17.276888
  -27.764814   -19.406422   -19.205078   -23.552626    -5.3544116
  -16.561821   -19.719616     1.7382386   -8.769728   -13.802771
    3.216509    -6.5006194  -11.519989     1.5239991   -7.543697
  -14.033654    -4.6676474   -7.7241087  -10.883946    -8.253978
  -11.524288   -10.013724    -6.3519053   -6.104077    -3.6260974
   -6.770525   -10.07799     -5.5176454   -6.697773    -7.8610544
   -1.3256422   -1.3339605   -3.3233693   -1.763138    -5.197332 ]",Number_0
"[-335.58273    190.89003     -1.2965955   15.17977     14.705439
  -29.205235   -15.464722   -16.693104   -23.288576    -5.1693807
  -17.729162   -19.713943     4.055909    -7.4652925  -14.151643
    2.8204057   -4.4376516   -8.096036     0.543709    -9.370058
  -10.139071    -2.1259754  -10.094565   -10.444957    -5.3090386
   -9.683477    -7.6452875   -6.2402873   -9.648514    -6.2419887
   -8.393038   -11.305202    -4.2908654   -6.1963296  -10.809384
   -4.5176783   -2.8949182   -3.6849406   -1.243604    -4.7611575]",Number_0
"[-322.20706    202.03857     -3.7332172    6.290564    13.877894
  -28.979269   -21.590597   -19.509861   -23.678244    -7.541548
  -16.993093   -19.126223     2.2384703   -6.633779   -13.474442
    1.6254505   -4.902377    -9.877759    -0.4259819   -6.623442
   -8.914148    -4.445535   -13.776252   -14.300667    -6.8864694
  -10.625041    -9.045835    -4.252622    -7.3679523   -6.1661987
   -5.879843   -10.187648    -7.8272147   -6.4316826   -7.326159
   -2.8895724   -2.1798396   -4.0376277   -2.219599    -3.4728127]",Number_0
"[-282.7306     191.532      -20.543499    -4.0066047    8.922434
  -29.164131   -14.463935   -16.148901   -28.043764   -10.590185
  -19.373201   -23.324492    -1.2248715   -9.196203   -12.325802
    4.8611746   -6.8170385  -10.476187     4.325458   -11.236124
  -20.12062     -1.4043261   -1.5962578   -9.736073    -6.614499
  -10.365109   -11.508586    -4.599148    -4.4157023   -7.257339
   -9.483748    -9.938194    -5.683014    -5.9348793   -7.986081
   -3.7662356   -2.5754173   -4.1349034   -2.6602552   -3.3202665]",Number_0
"[-3.3726740e+02  1.9780455e+02 -5.1620927e+00  1.5199325e+01
  2.2027176e+01 -2.5729021e+01 -2.0541185e+01 -2.3551647e+01
 -2.5811197e+01 -4.1053605e+00 -1.6970030e+01 -2.1428564e+01
  1.3166293e+00 -8.0170822e+00 -1.3332486e+01  3.1522229e-01
 -9.2900352e+00 -1.0035140e+01 -1.8094721e-01 -1.2176373e+01
 -1.1414329e+01 -1.0534241e+00 -1.1060848e+01 -1.2899066e+01
 -7.2059660e+00 -1.1570640e+01 -7.4699693e+00 -4.7317247e+00
 -1.0817948e+01 -6.1434040e+00 -4.0052252e+00 -9.3921366e+00
 -4.9341908e+00 -2.9369438e+00 -6.9581752e+00 -4.3631830e+00
 -3.2968965e+00 -4.2496223e+00 -2.9692645e+00 -5.9794178e+00]",Number_0
"[-324.74515    188.74779      9.76306      9.788602    10.669716
  -24.406757   -20.010698   -23.517025   -21.880358    -2.7126715
  -17.970173   -22.966696     1.4632769   -2.8188918   -8.317537
    2.6690443   -5.810661    -7.50317      0.9424853  -11.111694
  -13.912321    -5.590037   -14.640825   -15.987112    -5.7177806
   -7.000734    -6.59469     -3.3002772   -7.0723658   -6.606623
   -6.285042   -11.110646    -9.486437    -6.321425    -6.762992
   -5.3365784   -5.3788323   -6.0114107   -4.5432577   -5.4144945]",Number_0
"[-3.1562775e+02  1.9484355e+02  1.8771197e-01  7.5529652e+00
  1.8670355e+01 -2.7265253e+01 -2.5327732e+01 -1.6194199e+01
 -2.2096516e+01 -1.4013177e+01 -1.7505444e+01 -1.6804594e+01
 -1.6547487e+00 -9.2324400e+00 -1.3904599e+01 -3.2708070e-01
 -5.1625633e+00 -9.5470333e+00 -7.4235517e-01 -7.8747201e+00
 -1.2264441e+01 -3.4228001e+00 -8.7773504e+00 -1.4261441e+01
 -7.8223405e+00 -1.0510995e+01 -1.4561693e+01 -8.5794630e+00
 -6.3999834e+00 -8.7385530e+00 -8.4634075e+00 -7.3597984e+00
 -6.9617095e+00 -7.9103832e+00 -6.8140874e+00 -3.0331659e+00
 -2.6135654e+00 -3.2329476e+00 -3.2122529e+00 -5.6497431e+00]",Number_0
"[-314.16348    184.16618      5.752616     9.364285    11.208288
  -23.142672   -17.61606    -23.540995   -23.682663    -2.3107185
  -15.423975   -19.600723     4.86543     -0.9268607   -8.647494
    0.9517036   -6.1355143   -5.287159     1.5700461  -13.494462
  -14.826897    -3.8217256  -12.17475    -13.722621    -5.1777196
   -7.43432     -5.725431    -3.0381765   -8.640328    -7.8943844
   -6.942844   -10.831622    -8.525003    -7.8077536   -9.823833
   -6.5358267   -6.009125    -6.546104    -3.6252673   -5.488709 ]",Number_0
"[-331.6645      194.71638      -5.5616307    11.707373     14.271737
  -26.643187    -14.656453    -22.837236    -25.712456      2.5881882
  -13.423039    -23.99345      -1.149992    -11.38624     -13.726048
    7.184155     -4.4805784    -8.099479      7.221632     -7.648414
  -16.904203     -5.1990914    -9.380784    -10.876454     -4.0911884
   -9.171177     -9.152544     -4.490174     -7.551051     -7.0827785
   -7.560341    -11.152882     -7.8453045    -6.4496784    -7.0696416
   -3.5292952    -3.9600642    -3.5713031    -0.50209075   -4.5955095 ]",Number_0
"[-3.1578015e+02  1.9611154e+02 -1.4449097e+01  9.5787992e+00
  1.5568376e+01 -3.1944118e+01 -1.6329964e+01 -1.6153837e+01
 -2.3632885e+01 -4.0738100e-01 -1.2431234e+01 -2.1552074e+01
  2.0060925e-02 -1.0260583e+01 -1.5596749e+01  4.2979069e+00
 -3.8035350e+00 -7.1612349e+00  6.6907401e+00 -7.0551558e+00
 -1.5481053e+01 -3.1175966e+00 -8.3126926e+00 -1.3921169e+01
 -6.9976754e+00 -7.9517622e+00 -7.7889843e+00 -4.0524945e+00
 -6.1701283e+00 -6.5478420e+00 -6.8143878e+00 -7.7178192e+00
 -5.2747936e+00 -7.7902756e+00 -9.7044582e+00 -4.5283117e+00
 -3.4566653e+00 -3.8232884e+00 -2.4012358e+00 -5.6176624e+00]",Number_0
"[-316.51495    194.06659    -19.464834    13.689092    19.58094
  -31.493168   -15.086451   -19.180443   -28.901653    -1.2603886
  -12.391293   -21.591475     2.9562287   -6.5230365  -13.303273
    3.7824469   -6.905965    -8.48563      7.537318    -6.861869
  -15.190349    -3.08574     -9.429684   -14.436525    -6.686243
   -6.7035756   -5.7800055   -3.6651082   -5.861626    -4.4042454
   -6.123413    -8.61906     -6.0228586  -10.133377   -11.956406
   -4.7229824   -4.716447    -5.32196     -0.8665937   -3.6655958]",Number_0
"[-338.12036    180.61467     -4.22295     23.978498    21.192291
  -32.222664   -18.29156    -15.866792   -21.985825    -2.4785264
  -15.434883   -21.39281      0.7335423   -8.24326    -12.220836
    3.423159    -6.542385    -6.9413533    6.3398275   -6.8941455
  -11.891192    -1.8758138   -9.307249   -12.022082    -6.671063
  -10.888213    -8.310454    -3.6509717   -7.681644    -7.1004725
   -6.4243      -7.607043    -4.2270646   -6.56527     -8.782701
   -3.0548847   -2.9470162   -4.756124    -2.566917    -4.828242 ]",Number_0
"[-339.1842     187.74193     -7.937613    23.899624    22.075489
  -31.967087   -15.086821   -15.141234   -24.613907    -2.1279218
  -11.75299    -18.711906    -1.9687874  -13.391741   -11.458911
    6.266158    -9.043436    -9.345231     6.5208254   -8.888957
  -14.369312    -3.3320131  -11.518916   -12.9592285   -5.847796
  -10.03874     -7.9145966   -5.4154444   -9.943022    -6.4730415
   -5.5401664   -7.9031305   -4.0084205   -7.2062416   -9.450443
   -2.4490917   -4.106663    -6.2518525   -1.4598924   -4.8060994]",Number_0
"[-273.35468     196.54369     -52.37807       6.323295     31.8439
  -28.74247     -18.642857    -20.620451    -23.435251      5.0733085
  -14.3383465   -22.85914       4.0249934   -10.676055    -14.445629
    4.695925    -13.310441    -13.650804      4.008824    -14.367365
  -14.56682       1.9508444   -14.939553    -18.209057     -1.8401108
   -6.7917123    -7.1997137     0.3045532    -6.1147876    -6.394906
    0.8611705     0.43040296   -2.2858074    -5.2199063    -5.507189
   -3.8943136    -6.0726857    -4.0992303    -3.0619402    -9.581197  ]",Number_0
"[-323.47122     216.18343     -30.146255     14.8445425    28.451614
  -28.43374     -16.881561    -22.555752    -20.261509     11.099746
  -16.62417     -26.800959      5.777486    -11.496097    -17.728992
    5.6334558   -13.098678    -15.675542      6.198367    -10.726607
  -14.952768      1.7830056   -11.351175    -15.172729     -2.6106608
   -9.220591     -9.588679     -2.8439538    -8.18513      -5.49229
    0.62277687   -2.5800302    -2.681207     -3.0610936    -5.005633
   -2.6678312    -3.9074123    -5.328078     -4.551296     -8.610907  ]",Number_0
"[-3.1575854e+02  2.0223018e+02 -1.9897207e+01  1.8721079e+01
  2.3570765e+01 -3.0480911e+01 -1.9239956e+01 -2.5322950e+01
 -1.8916019e+01  1.1385152e+01 -1.8091137e+01 -2.4450855e+01
  7.9825635e+00 -1.1548622e+01 -1.5723754e+01  6.7965589e+00
 -1.5008651e+01 -1.5767278e+01  7.9228563e+00 -1.0790558e+01
 -1.6545782e+01 -8.1546730e-01 -1.3928947e+01 -1.5507834e+01
 -1.2599447e+00 -8.0383825e+00 -9.4637079e+00 -2.9909775e+00
 -6.8028750e+00 -3.9971306e+00  2.0697366e-01 -3.2970543e+00
 -3.2008061e+00 -3.2418866e+00 -2.9676163e+00 -1.4102341e+00
 -6.3988800e+00 -6.8921371e+00 -2.8314855e+00 -6.7655754e+00]",Number_0
"[-3.3378616e+02  2.1195943e+02 -2.8417143e+01  1.8640257e+01
  2.9523167e+01 -3.1634079e+01 -1.9115229e+01 -2.0429201e+01
 -1.9697565e+01  9.0089779e+00 -1.6234278e+01 -2.4349977e+01
  8.0558043e+00 -1.0579964e+01 -1.8076206e+01  7.4243102e+00
 -1.1136289e+01 -1.7422527e+01  6.6432781e+00 -7.3806725e+00
 -1.6114077e+01 -2.5313443e-01 -1.1030381e+01 -1.8404696e+01
 -6.0403113e+00 -8.2661610e+00 -1.0381491e+01 -4.5166740e+00
 -5.5902104e+00 -3.3714418e+00  1.7538376e-02 -2.9824908e+00
 -3.8442621e+00 -3.5167663e+00 -2.7620950e+00 -1.8907739e+00
 -4.5521970e+00 -3.5656447e+00 -2.9765484e+00 -8.4081192e+00]",Number_0
"[-326.5593     192.22482    -10.304513    12.756046    17.79945
  -29.275423   -16.970663   -18.503193   -25.299173    -4.0861096
  -15.62405    -20.441559     1.0372931  -10.856855   -14.184193
    4.43374     -8.242749   -11.149669     5.5915165   -7.8933816
  -15.886605    -2.8885355   -8.961679   -14.324558    -6.8427753
   -9.859498   -11.530858    -7.2183313   -8.104195    -6.5643415
   -5.465446    -8.171093    -7.38853     -8.258503    -8.520292
   -3.1314113   -2.5446813   -5.346881    -5.2983546   -6.1657352]",Number_0
"[-340.791      205.42575    -12.140999    14.49955     23.224964
  -26.670582   -17.260527   -17.180073   -17.352356     3.0567844
  -17.050938   -21.37221      4.024228   -12.559469   -17.73395
    4.2894864   -9.0763645  -12.498166     4.3316054  -11.468019
  -18.094425    -3.8568275  -12.98482    -15.904525    -2.843497
   -7.00336    -10.205343    -4.4539227   -7.3018265   -7.010025
   -1.6811484   -2.0304983   -3.7920792   -5.7838717   -5.851287
   -3.81506     -5.418502    -4.3016768   -2.1121507   -6.8845506]",Number_0
"[-330.4288      211.7368      -25.851206     16.003662     26.696325
  -29.42704     -15.618953    -19.066103    -20.933247      7.884836
  -13.438713    -21.204624      7.945378    -10.0264015   -17.74223
    4.7301784   -10.788505    -13.275233      7.0429187    -9.2574
  -16.086712     -0.87240183  -11.1219015   -15.721045     -4.013086
   -7.4144444    -9.137093     -4.452113     -5.888016     -3.1047385
   -1.0947906    -4.0376167    -3.6771924    -4.3517904    -3.1909747
   -0.58999413   -4.5498657    -4.4067154    -2.5270247    -8.617764  ]",Number_0
"[-3.2039694e+02  2.0993083e+02 -3.7960083e+01  9.5500736e+00
  3.2894482e+01 -2.5970848e+01 -1.8647999e+01 -1.6964203e+01
 -1.9032372e+01  3.2088286e-01 -1.9641825e+01 -2.0661055e+01
  4.9015951e+00 -1.5308480e+01 -1.6428484e+01  7.3427920e+00
 -1.3747567e+01 -1.5294844e+01  1.0761067e+01 -5.8546052e+00
 -1.6449873e+01 -1.7092677e+00 -1.0521050e+01 -1.4509035e+01
 -3.3540132e+00 -6.7626343e+00 -6.1429572e+00 -1.0379859e+00
 -6.1359973e+00 -4.3166876e+00  2.3845252e-01 -1.3361441e+00
 -2.6020697e-01 -2.6719112e+00 -5.9340086e+00 -3.1522007e+00
 -3.8366864e+00 -3.9023070e+00 -2.0818207e+00 -6.9333458e+00]",Number_0
